,text,general_tags,specific_tags,token_tagset
0,"Found a pair of Sperry Topsiders for 3 , 500 pesos and Swatch Seasiders for 2 , 700 pesos .","['VBPT', 'NOUN', 'VB', 'IN', 'PROPN', 'NOUN', 'IN', 'CD', 'PUNC', 'CD', 'NOUN', 'CONJ', 'VB', 'NOUN', 'IN', 'CD', 'PUNC', 'CD', 'NOUN', 'PUNC']","['VBN', 'NNC', 'VB', 'IN', 'NNP', 'NNS', 'IN', 'CDB', 'PMC', 'CDB', 'NNC', 'CC', 'VB', 'NNS', 'IN', 'CDB', 'PMC', 'CDB', 'NNC', 'PMP']","['Spacy', 'MGNN', 'Spacy', 'Spacy', 'MGNN', 'Spacy', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
1,Simula pa 'to kahapon .,"['RB', 'RB', 'PUNC', 'NOUN', 'PUNC']","['RBW', 'RBI', '``', 'NNC', 'PMP']","['MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN']"
2,"Feeling horny tonightIf youre around the area and feeling the same way , just leave me a message and susunduin kita","['PROPN', 'NOUN', 'PROPN', 'PR', 'RB', 'DT', 'NOUN', 'CONJ', 'NOUN', 'DT', 'JJ', 'FW', 'PUNC', 'RB', 'VB', 'PR', 'NOUN', 'NOUN', 'CONJ', 'VBFT', 'NOUN']","['NNP', 'NN', 'NNP', 'PRP', 'RB', 'DT', 'NN', 'CC', 'NNC', 'DT', 'JJ', 'FW', 'PMC', 'RB', 'VB', 'PRP', 'NNC', 'NN', 'CC', 'VBTF', 'NNC']","['MGNN', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'MGNN', 'Spacy', 'Spacy', 'MGNN', 'MGNN', 'Spacy', 'Spacy', 'Spacy', 'MGNN', 'Spacy', 'Spacy', 'MGNN', 'MGNN']"
3,"Chat or DM for my tele to swap photos , lets sew if we match .","['VB', 'CONJ', 'PROPN', 'IN', 'PR', 'PROPN', 'TO', 'NOUN', 'NOUN', 'PUNC', 'VBPR', 'VB', 'IN', 'PR', 'VB', 'PUNC']","['VB', 'CC', 'NNPA', 'IN', 'PRP$', 'NNP', 'TO', 'NNC', 'NNS', 'PMC', 'VBZ', 'VB', 'IN', 'PRP', 'VB', 'PMP']","['Spacy', 'Spacy', 'MGNN', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'MGNN', 'Spacy', 'MGNN', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'MGNN']"
4,Hmu kung merong interested .,"['NOUN', 'CONJ', 'VB', 'JJ', 'PUNC']","['NN', 'CCR', 'VBH', 'JJ', 'PMP']","['Spacy', 'MGNN', 'MGNN', 'Spacy', 'MGNN']"
5,Siguro what I can offer lang is yung experience na lumabas ka with an average girl HAHAHAHAHA sabi ng friends ko funny ako kasama so malay mo mapatawa kita kahit papano .,"['RB', 'PR', 'CD', 'NOUN', 'VBPR', 'RB', 'VBPR', 'PR', 'VB', 'CCP', 'VB', 'PR', 'IN', 'DT', 'JJ', 'NOUN', 'PROPN', 'VB', 'CONJ', 'NOUN', 'PR', 'JJ', 'PR', 'CONJ', 'RB', 'NOUN', 'PROPN', 'VB', 'NOUN', 'CONJ', 'RB', 'PUNC']","['RBM', 'WP', 'CDB', 'NNC', 'VBP', 'RBI', 'VBZ', 'PRO', 'VB', 'CCP', 'VBAF', 'PRS', 'IN', 'DTC', 'JJ', 'NN', 'NNPA', 'VBS', 'CCB', 'NNS', 'PRS', 'JJ', 'PRS', 'CCB', 'RB', 'NNC', 'NNP', 'VBW', 'NNC', 'CCT', 'RBQ', 'PMP']","['MGNN', 'Spacy', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'Spacy', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'Spacy', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN']"
6,Dm your ASL kung gusto ng massage .,"['PROPN', 'PR', 'PROPN', 'CONJ', 'VB', 'CONJ', 'NOUN', 'PUNC']","['NNP', 'PRP$', 'NNPA', 'CCR', 'VBS', 'CCB', 'NN', 'PMP']","['MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN']"
7,"Sa trabaho ko sa ER , may nagsuicide attempt na pasyente , pagdating sa ospital buong mukha nya violet na .","['CONJ', 'NOUN', 'PR', 'CONJ', 'UH', 'PUNC', 'VB', 'VBPR', 'NOUN', 'CCP', 'NOUN', 'PUNC', 'RB', 'CONJ', 'NOUN', 'PR', 'NOUN', 'PR', 'NOUN', 'CCP', 'PUNC']","['CCT', 'NNC', 'PRS', 'CCT', 'UH', 'PMC', 'VBH', 'VBTR', 'NN', 'CCP', 'NNC', 'PMC', 'RBW', 'CCT', 'NNC', 'PRI', 'NNC', 'PRS', 'NN', 'CCP', 'PMP']","['MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'MGNN', 'Spacy', 'MGNN', 'MGNN']"
8,Is there any way to restore said photos & videos ?,"['VBPR', 'RB', 'FW', 'FW', 'TO', 'VB', 'VBPT', 'NOUN', 'SYM', 'NOUN', 'PUNC']","['VBZ', 'RB', 'FW', 'FW', 'TO', 'VB', 'VBD', 'NNS', 'PMS', 'NNS', 'PMQ']","['Spacy', 'Spacy', 'MGNN', 'MGNN', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'MGNN', 'Spacy', 'MGNN']"
9,"yes , you read it right .","['UH', 'PUNC', 'PR', 'VB', 'PR', 'UH', 'PUNC']","['UH', 'PMC', 'PRP', 'VB', 'PRP', 'UH', 'PMP']","['Spacy', 'MGNN', 'Spacy', 'Spacy', 'Spacy', 'Spacy', 'MGNN']"
10,No offense to Pacman fans .,"['UH', 'NOUN', 'TO', 'PROPN', 'NOUN', 'PUNC']","['UH', 'NN', 'TO', 'NNP', 'NNS', 'PMP']","['Spacy', 'Spacy', 'Spacy', 'MGNN', 'Spacy', 'MGNN']"
11,"No expectations , just free flowing conversations","['UH', 'NOUN', 'PUNC', 'RB', 'JJ', 'VBPR', 'NOUN']","['UH', 'NNS', 'PMC', 'RB', 'JJ', 'VBG', 'NNS']","['Spacy', 'Spacy', 'MGNN', 'Spacy', 'Spacy', 'Spacy', 'Spacy']"
